"id","effective.ppt_800","rain.fraction_800","MAAT_800","MAP_800"
"Ahwahnee",-168.746841430664,99,15.1564407348633,661
"Auberry",-123.297698974609,98,15.0925226211548,701
"Chiquito",868.789978027344,54,4.17266273498535,1322
"Musick",230.35546875,91,13.5174493789673,977
"Shaver",427.873016357422,83,8.74808025360107,1025
"Sirretta",657.367553710938,71,6.29763555526733,1157
"Vista",-485.986907958984,99,17.4628028869629,464
"Aiken",527.922607421875,94,13.2557134628296,1277
"Inks",-230.872406005859,99,16.5281810760498,604
"McCarthy",845.97265625,87,10.647084236145,1485
"Nobu",926.5888671875,67,6.94483280181885,1426
"Supan",-28.5912475585938,99,15.6940670013428,810
"Top",858.291564941406,58,5.08454942703247,1290
"Waca",917.857604980469,67,7.12631702423096,1425
